,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return,SMA_20,SMA_50,SMA_200,RSI,EMA_20,MACD,MACD_Signal,Volatility,BB_Middle,BB_Upper,BB_Lower,ATR,DayOfWeek,Month,Quarter,Target,Prediction,Next_Day_Return,Position_Change,Strategy_Return,Strategy_Equity,Buy_Hold_Equity
2023-06-21,1933.300048828125,1933.300048828125,1936.800048828125,1920.0,1935.5999755859373,557,-0.0011366319668689,-0.0011372784228845,1955.3450073242188,1984.196000976562,1844.8370013427732,40.09068304812052,1958.2069810927549,-10.397737754009086,-9.269422128101812,0.0067662266588049,1955.3450073242188,1978.83445129675,1931.855563351688,21.599993024553555,2,6,2,0,1,-0.010655406370437381,0.0,-0.010655406370437381,0.9731365816188632,0.9731365816188632
2023-06-22,1912.699951171875,1912.699951171875,1921.0,1912.0999755859373,1920.0,237,-0.0106554063704373,-0.0107125817267063,1952.3600036621092,1982.3539990234367,1845.851500854492,29.707896401925808,1953.8729782431471,-12.728649807348802,-9.961267663951212,0.0071001564042246,1952.3600036621092,1981.2713151079204,1923.4486922162985,21.064287458147323,3,6,2,1,1,0.003346068164084448,0.0,0.003346068164084448,0.9763927629539241,0.9763927629539241
2023-06-23,1919.0999755859373,1919.0999755859373,1932.5,1918.699951171875,1918.699951171875,105,0.0033460681640844,0.0033404825344685,1950.175,1980.5179980468747,1846.945000610352,38.24982253740488,1950.5612637043653,-13.899263858190125,-10.748866902798994,0.0071333029423585,1950.175,1982.2016460432224,1918.148353956777,19.971435546875,4,6,2,1,1,0.0023969442157556475,0.0,0.0023969442157556475,0.9787331219393922,0.9787331219393922
2023-06-26,1923.699951171875,1923.699951171875,1928.5,1922.5,1922.9000244140625,71,0.0023969442157556,0.0023940761271535,1949.2049987792968,1978.1659960937495,1847.9870001220704,37.81094484199421,1948.003043463176,-14.29106583010548,-11.457306688260292,0.0068497134528933,1949.2049987792968,1983.2457111298231,1915.1642864287703,18.92143903459823,0,6,2,0,1,-0.005042341018913099,0.0,-0.005042341018913099,0.9737980157720684,0.9737980157720684
2023-06-27,1914.0,1914.0,1929.4000244140625,1914.0,1927.0,49,-0.005042341018913,-0.0050550965168347,1947.7,1976.4019970703123,1849.0170001220704,31.980424349798994,1944.7646583714447,-15.208957316626766,-12.207636813933588,0.0069196252296583,1947.7,1985.178943458274,1910.221056541726,19.485726492745552,1,6,2,0,1,-0.0008881667564655249,0.0,-0.0008881667564655249,0.9729331207469475,0.9729331207469475
2023-06-28,1912.300048828125,1912.300048828125,1912.300048828125,1912.300048828125,1912.300048828125,628,-0.0008881667564655,-0.0008885614102553,1945.4150024414064,1974.7639990234368,1849.997500610352,37.52057054318261,1941.6727907958905,-15.890390257764238,-12.94418750269972,0.0066649520369984,1945.4150024414064,1985.7160550048343,1905.113949877978,17.62857491629466,2,6,2,0,1,-0.0016211355839005348,0.0,-0.0016211355839005348,0.9713558642441492,0.9713558642441492
2023-06-29,1909.199951171875,1909.199951171875,1909.9000244140625,1892.5,1909.9000244140625,289,-0.0016211355839005,-0.0016224510460784,1942.679998779297,1972.7999975585933,1850.9030004882811,23.846172806757224,1938.580139403127,-16.49049063427924,-13.653448129015624,0.0065924275633985,1942.679998779297,1985.069320869855,1900.290676688739,17.164289202008945,3,6,2,1,1,0.0062329901102071705,0.0,0.0062329901102071705,0.9774103157394748,0.9774103157394748
2023-06-30,1921.0999755859373,1921.0999755859373,1921.0999755859373,1900.5999755859373,1908.5999755859373,445,0.0062329901102071,0.0062136453694543,1939.8349975585936,1971.317998046875,1851.983500366211,32.05243154208216,1936.915361896728,-15.823439230891154,-14.08744634939073,0.0065307695813367,1939.8349975585936,1979.8122904701308,1899.8577046470568,17.95000348772323,4,6,2,1,1,0.0003123083616483058,0.0,0.0003123083616483058,0.9777155691538415,0.9777155691538415
2023-07-03,1921.699951171875,1921.699951171875,1929.5,1917.9000244140625,1917.9000244140625,41,0.0003123083616483,0.0003122596035433,1938.2999938964845,1969.5999975585933,1853.1095001220704,34.47318068178748,1935.466275161028,-15.072635215901071,-14.2844841226928,0.0059484547070014,1938.2999938964845,1978.6021396882709,1897.997848104698,17.914289202008945,0,7,3,0,1,-0.0010927697555787041,0.0,-0.0010927697555787041,0.9766471511503118,0.9766471511503118
2023-07-05,1919.5999755859373,1919.5999755859373,1933.9000244140625,1914.699951171875,1923.5,193,-0.0010927697555787,-0.0010933672637803,1936.3799926757813,1968.4019970703123,1854.3804998779297,37.44981150205172,1933.9551990110192,-14.48014994929258,-14.323617288012755,0.0058863757092936,1936.3799926757813,1976.3882060137096,1896.371779337853,17.34286934988841,2,7,3,0,1,-0.00567827909600549,0.0,-0.00567827909600549,0.9711014760477616,0.9711014760477616
